% Model:              Cooumpounding parabolic collactor-Ultra-flow.mph
% Version:            COMSOL 6.3.0.290
% Date:               Jan 22 2025, 16:53
% Dimension:          1
% Nodes:              21
% Expressions:        1
% Description:        Global
% Time (s),Average 1
0,20.00032140980676
150,26.98937598724899
300,33.70832329531942
450.00000000000006,40.24959285779323
600,46.56063558592729
750,52.45872487899544
900.0000000000001,58.27395270111441
1050,63.6540531670085
1200,68.95180780600515
1350,73.81714287119286
1500,78.6529609357014
1650.0000000000002,83.23468546912255
1800.0000000000002,87.63702464218198
1950,91.79506136077333
2100,95.73205395134039
2250,99.44188877609258
2400,102.92858909476541
2550.0000000000005,106.20552440690903
2700,109.27024343174833
2850,112.14179903729956
3000,114.81670425070416
