tempC1,tempC2,avg,currentTime
27.75,28.06,27.91,5805
28.00,28.06,28.03,11542
29.00,28.06,28.53,17281
29.75,28.06,28.91,23018
30.00,28.06,29.03,28756
30.25,28.06,29.16,34494
30.50,28.12,29.31,40232
30.75,28.19,29.47,45970
31.00,28.25,29.62,51708
31.25,28.37,29.81,57447
31.50,28.50,30.00,64206
31.75,28.75,30.25,70697
32.00,28.94,30.47,77135
32.00,29.12,30.56,83617
32.25,29.31,30.78,90065
32.50,29.50,31.00,95828
32.50,29.62,31.06,101567
32.75,29.81,31.28,107304
33.00,30.00,31.50,113042
33.25,30.19,31.72,118780
33.25,30.31,31.78,124518
33.50,30.50,32.00,130255
33.75,30.69,32.22,135994
34.00,30.81,32.41,141731
34.00,31.00,32.50,147469
34.25,31.19,32.72,153207
34.25,31.37,32.81,158945
34.50,31.50,33.00,164682
35.00,31.69,33.34,170420
34.75,31.87,33.31,176157
35.25,32.00,33.63,181896
35.50,32.19,33.84,187633
35.50,32.38,33.94,193371
35.75,32.56,34.16,199108
36.00,32.69,34.34,204846
36.00,32.88,34.44,210583
36.25,33.06,34.66,216321
36.25,33.25,34.75,222058
36.75,33.38,35.06,227795
36.75,33.50,35.13,233533
37.00,33.75,35.38,239270
37.00,33.88,35.44,245008
37.25,34.06,35.66,250745
37.50,34.19,35.84,256483
37.50,34.38,35.94,262220
37.75,34.56,36.16,267958
38.00,34.69,36.34,273695
38.00,34.88,36.44,279433
38.25,35.06,36.66,285170
38.50,35.25,36.88,290908
38.50,35.38,36.94,296645
38.75,35.56,37.16,302382
38.75,35.69,37.22,308119
39.00,35.88,37.44,313857
39.00,36.06,37.53,319594
39.25,36.19,37.72,325331
39.50,36.38,37.94,331069
39.75,36.56,38.16,336805
39.75,36.69,38.22,342543
40.00,36.88,38.44,348280
40.00,37.00,38.50,354018
40.25,37.19,38.72,359754
40.50,37.38,38.94,365492
40.50,37.56,39.03,371229
40.75,37.69,39.22,376966
41.00,37.88,39.44,382703
41.00,38.00,39.50,388441
41.25,38.19,39.72,394177
41.25,38.31,39.78,399915
41.50,38.44,39.97,405652
41.75,38.63,40.19,411388
41.75,38.75,40.25,417126
42.00,38.94,40.47,422863
42.25,39.06,40.66,428600
42.25,39.25,40.75,434337
42.50,39.44,40.97,440074
42.75,39.56,41.16,445811
42.75,39.75,41.25,451548
43.00,39.88,41.44,457285
43.25,40.06,41.66,463023
43.25,40.19,41.72,468759
43.25,40.38,41.81,474497
43.75,40.50,42.13,480233
43.75,40.69,42.22,485970
44.00,40.81,42.41,491707
44.25,41.00,42.63,497444
44.25,41.13,42.69,503181
44.50,41.31,42.91,508917
44.75,41.44,43.09,514655
44.75,41.63,43.19,520391
45.00,41.75,43.38,526129
45.25,41.94,43.59,531865
45.50,42.06,43.78,537602
45.50,42.25,43.88,543339
45.75,42.38,44.06,549075
46.00,42.56,44.28,554812
46.00,42.69,44.34,560549
46.25,42.88,44.56,566286
46.50,43.00,44.75,572022
46.50,43.19,44.84,577760
46.50,43.38,44.94,583496
46.75,43.50,45.13,589233
46.75,43.69,45.22,594969
47.00,43.81,45.41,600707
47.25,43.94,45.59,606443
47.50,44.13,45.81,612179
47.75,44.31,46.03,617916
47.75,44.44,46.09,623653
48.00,44.63,46.31,629390
48.00,44.75,46.38,635126
48.50,44.94,46.72,640863
48.50,45.06,46.78,646599
48.75,45.19,46.97,652336
49.00,45.31,47.16,658072
49.00,45.50,47.25,663810
49.25,45.63,47.44,669546
49.25,45.81,47.53,675282
49.50,45.94,47.72,681019
49.75,46.06,47.91,686755
49.75,46.25,48.00,692492
50.00,46.38,48.19,698228
50.25,46.56,48.41,703965
50.25,46.69,48.47,709701
50.50,46.88,48.69,715438
50.50,47.00,48.75,721174
50.75,47.13,48.94,726910
50.75,47.31,49.03,732646
51.00,47.44,49.22,738382
51.25,47.56,49.41,744119
51.25,47.75,49.50,749855
51.50,47.88,49.69,755592
51.50,48.00,49.75,761328
