% Model:              Cooumpounding parabolic collactor.mph
% Version:            COMSOL 6.3.0.290
% Date:               Jan 16 2025, 19:41
% Dimension:          1
% Nodes:              50
% Expressions:        1
% Description:        Global
% Solution number,Average 1
1,410.8746330309821
2,410.3935514920967
3,409.94499050315784
4,411.11340914144944
5,411.77970679912903
6,411.7771977195216
7,411.69918489994853
8,412.4400290966942
9,410.5069304086325
10,412.0427729486094
11,412.93972198018014
12,412.31703444941263
13,409.745464066825
14,412.54188217769433
15,413.61443711949494
16,412.7963111199907
17,413.91415197038015
18,415.62886566765354
19,416.23462929512874
20,416.76737906306914
21,416.80742780684255
22,416.16683755288534
23,417.7631477492546
24,417.9536887850354
25,419.762741882036
26,415.7988241159759
27,417.79785279106824
28,419.62710868988927
29,419.41053259804517
30,419.3740847220471
31,419.682711641739
32,420.6328528597268
33,418.76106952498566
34,420.35611091865894
35,419.49365769503277
36,419.478881642869
37,420.3085981288882
38,418.91767530424113
39,418.2476224666965
40,420.3821059256553
41,422.6103199290732
42,416.3102064507869
43,417.9549465515395
44,416.22947348912226
45,417.18099203826034
46,417.380796360144
47,420.1309997157983
48,415.45031545169974
49,414.86278603270625
50,418.5170566727162
