tempC1,tempC2,avg,area,angle,currentTime
20.25,20.50,20.37,1.00,90.00,5806
20.50,20.50,20.50,1.00,90.00,13267
20.75,20.50,20.62,1.00,90.00,19007
21.25,20.50,20.87,1.00,90.00,24747
21.50,20.50,21.00,1.00,90.00,30487
21.75,20.50,21.12,1.00,90.00,36227
21.75,20.50,21.12,1.00,90.00,41966
21.75,20.56,21.16,1.00,90.00,47706
22.00,20.56,21.28,1.00,90.00,53446
22.25,20.62,21.44,1.00,90.00,59186
22.50,20.69,21.59,1.00,90.00,64925
22.50,20.75,21.62,1.00,90.00,70666
22.50,20.87,21.69,1.00,90.00,76405
22.75,20.94,21.84,1.00,90.00,82145
22.75,21.06,21.91,1.00,90.00,87884
23.00,21.12,22.06,1.00,90.00,93624
22.75,21.25,22.00,1.00,90.00,99364
23.00,21.37,22.19,1.00,90.00,105104
23.25,21.44,22.34,1.00,90.00,110843
23.25,21.56,22.41,1.00,90.00,116583
23.25,21.69,22.47,1.00,90.00,122322
23.25,21.75,22.50,1.00,90.00,128063
23.50,21.87,22.69,1.00,90.00,133803
23.75,22.00,22.87,1.00,90.00,139542
23.75,22.06,22.91,1.00,90.00,145282
23.75,22.12,22.94,1.00,90.00,151021
23.75,22.25,23.00,1.00,90.00,156761
24.00,22.31,23.16,1.00,90.00,162500
24.00,22.44,23.22,1.00,90.00,168240
24.25,22.56,23.41,1.00,90.00,173979
24.50,22.69,23.59,1.00,90.00,179719
24.50,22.75,23.62,1.00,90.00,185458
24.50,22.87,23.69,1.00,90.00,191198
24.75,22.94,23.84,1.00,90.00,196937
24.75,23.06,23.91,1.00,90.00,202677
25.00,23.19,24.09,1.00,90.00,208416
25.00,23.25,24.12,1.00,90.00,214156
25.00,23.31,24.16,1.00,90.00,219895
25.25,23.44,24.34,1.00,90.00,225635
25.50,23.56,24.53,1.00,90.00,231374
25.50,23.69,24.59,1.00,90.00,237114
25.50,23.75,24.62,1.00,90.00,242853
25.50,23.87,24.69,1.00,90.00,248593
25.75,23.94,24.84,1.00,90.00,254332
25.75,24.06,24.91,1.00,90.00,260071
26.00,24.19,25.09,1.00,90.00,265810
26.25,24.31,25.28,1.00,90.00,271550
26.25,24.37,25.31,1.00,90.00,277289
26.25,24.50,25.37,1.00,90.00,283029
26.25,24.56,25.41,1.00,90.00,288768
26.50,24.62,25.56,1.00,90.00,294507
26.50,24.81,25.66,1.00,90.00,300247
26.75,24.87,25.81,1.00,90.00,305986
26.75,24.94,25.84,1.00,90.00,311725
27.00,25.06,26.03,1.00,90.00,317464
27.00,25.19,26.09,1.00,90.00,323204
27.25,25.25,26.25,1.00,90.00,328942
27.25,25.37,26.31,1.00,90.00,334682
27.25,25.44,26.34,1.00,90.00,340421
27.50,25.56,26.53,1.00,90.00,346160
27.50,25.69,26.59,1.00,90.00,351899
27.50,25.75,26.62,1.00,90.00,357639
27.75,25.87,26.81,1.00,90.00,363377
28.00,25.94,26.97,1.00,90.00,369117
28.00,26.06,27.03,1.00,90.00,374856
28.00,26.12,27.06,1.00,90.00,380595
28.00,26.25,27.12,1.00,90.00,386334
28.25,26.37,27.31,1.00,90.00,392073
28.50,26.44,27.47,1.00,90.00,397812
28.50,26.56,27.53,1.00,90.00,403551
28.75,26.62,27.69,1.00,90.00,409290
28.75,26.75,27.75,1.00,90.00,415029
28.75,26.81,27.78,1.00,90.00,420768
29.00,26.94,27.97,1.00,90.00,426507
29.25,27.06,28.16,1.00,90.00,432246
29.00,27.12,28.06,1.00,90.00,437985
